sensor,node_id,component_id,component_size,root_id,seq_pos
D4-073,73,0,237,73,0.0
D4-005,5,0,237,73,352.6
D4-154,154,0,237,73,699.8
D4-263,263,0,237,73,1092.6999999999998
D4-056,56,0,237,73,1533.4999999999998
D4-096,96,0,237,73,1908.1
D4-042,42,0,237,73,2286.2
D4-058,58,0,237,73,2650.7999999999997
D4-095,95,0,237,73,3127.6
D4-072,72,0,237,73,3607.7
D4-271,271,0,237,73,4027.2
D4-068,68,0,237,203,2130.5
D4-227,227,0,237,227,0.0
D4-167,167,0,237,227,1425.7
D4-298,298,0,237,227,1841.4
D4-209,209,0,237,227,2266.9
D4-146,146,0,237,261,2571.8
D4-170,170,0,237,261,3066.5
D4-173,173,0,237,261,3467.2
D4-117,117,0,237,261,3839.6
D4-000,0,0,237,261,4413.1
D4-092,92,0,237,261,4811.1
D4-243,243,0,237,203,2647.0
D4-062,62,0,237,203,3004.3
D4-203,203,0,237,203,0.0
D4-080,80,0,237,203,1071.1
D4-097,97,0,237,203,1905.1999999999998
D4-028,28,0,237,203,2436.6
D4-057,57,0,237,203,2334.1
D4-055,55,0,237,203,3259.3
D4-223,223,0,237,203,3642.0
D4-143,143,0,237,203,3951.5
D4-269,269,0,237,203,4280.6
D4-290,290,0,237,203,4642.6
D4-110,110,0,237,203,5068.200000000001
D4-121,121,0,237,203,5456.6
D4-299,299,0,237,203,5783.700000000001
D4-293,293,0,237,203,6109.800000000001
D4-148,148,0,237,203,6644.700000000001
D4-150,150,0,237,203,6985.800000000001
D4-152,152,0,237,203,7340.300000000001
D4-098,98,0,237,13,2133.7
D4-070,70,0,237,13,2448.7999999999997
D4-255,255,0,237,13,3757.5999999999995
D4-128,128,0,237,256,5396.000000000001
D4-131,131,0,237,256,6068.400000000001
D4-132,132,0,237,256,6872.200000000001
D4-133,133,0,237,203,4281.3
D4-242,242,0,237,203,2647.2999999999997
D4-018,18,0,237,203,3437.2
D4-043,43,0,237,203,3859.7999999999997
D4-118,118,0,237,203,4309.5
D4-207,207,0,237,203,4758.2
D4-169,169,0,237,203,5217.8
D4-127,127,0,237,261,2512.7000000000003
D4-208,208,0,237,261,2963.3
D4-297,297,0,237,261,3389.3
D4-168,168,0,237,261,3819.3
D4-166,166,0,237,261,4214.400000000001
D4-226,226,0,237,261,5241.6
D4-013,13,0,237,13,0.0
D4-026,26,0,237,13,341.5
D4-094,94,0,237,13,749.7
D4-219,219,0,237,13,1362.4
D4-217,217,0,237,13,1722.0
D4-031,31,0,237,256,1761.6
D4-215,215,0,237,256,2240.2999999999997
D4-111,111,0,237,256,4926.1
D4-116,116,0,237,256,3336.6
D4-036,36,0,237,3,917.4
D4-078,78,0,237,3,1332.1
D4-304,304,0,237,304,0.0
D4-035,35,0,237,304,378.0
D4-115,115,0,237,304,881.6
D4-086,86,0,237,304,2110.1
D4-214,214,0,237,304,4822.2
D4-027,27,0,237,304,5293.3
D4-216,216,0,237,256,1951.6
D4-218,218,0,237,256,2311.4
D4-076,76,0,237,256,2668.0
D4-238,238,0,237,256,3092.6
D4-050,50,0,237,256,3620.5
D4-091,91,0,237,93,2181.6
D4-052,52,0,237,93,2605.7
D4-075,75,0,237,93,2955.8999999999996
D4-171,171,0,237,93,3353.0999999999995
D4-256,256,0,237,256,0.0
D4-001,1,0,237,256,1149.5
D4-046,46,0,237,256,1598.0
D4-212,212,0,237,212,0.0
D4-270,270,0,237,212,328.7
D4-032,32,0,237,212,681.0
D4-010,10,0,237,212,1087.7
D4-003,3,0,237,3,0.0
D4-247,247,0,237,3,424.5
D4-249,249,0,237,3,1034.3
D4-225,225,0,237,3,1549.3
D4-261,261,0,237,261,0.0
D4-260,260,0,237,261,294.1
D4-259,259,0,237,261,634.7
D4-103,103,0,237,261,995.4000000000001
D4-302,302,0,237,261,1342.1000000000001
D4-104,104,0,237,261,2435.9
D4-071,71,0,237,261,2799.6
D4-088,88,0,237,261,3159.7999999999997
D4-268,268,0,237,261,3532.6
D4-240,240,0,237,261,3952.9
D4-009,9,0,237,212,1658.3000000000002
D4-239,239,0,237,212,2016.4
D4-023,23,0,237,212,2457.4
D4-022,22,0,237,212,2777.2000000000003
D4-049,49,0,237,212,3224.7000000000003
D4-155,155,0,237,155,0.0
D4-157,157,0,237,155,353.4
D4-158,158,0,237,155,685.0999999999999
D4-286,286,0,237,155,1068.8999999999999
D4-102,102,0,237,155,1399.0
D4-285,285,0,237,155,1766.8
D4-015,15,0,237,155,2115.6
D4-008,8,0,237,155,2467.7
D4-300,300,0,237,155,2865.6
D4-034,34,0,237,155,3259.7999999999997
D4-161,161,0,237,155,3619.6
D4-125,125,0,237,155,4045.7
D4-235,235,0,237,155,4459.4
D4-163,163,0,237,304,1525.1
D4-236,236,0,237,304,1893.3
D4-250,250,0,237,304,2353.4
D4-122,122,0,237,304,2745.0
D4-252,252,0,237,256,1425.4
D4-069,69,0,237,256,1805.4
D4-039,39,0,237,256,2143.5
D4-234,234,0,237,256,2504.8
D4-082,82,0,237,256,2861.6000000000004
D4-274,274,0,237,256,3609.9000000000005
D4-175,175,0,237,256,3966.9000000000005
D4-177,177,0,237,256,4327.500000000001
D4-213,213,0,237,256,4643.600000000001
D4-179,179,0,237,256,4954.300000000001
D4-033,33,0,237,256,5282.600000000001
D4-181,181,0,237,256,5615.600000000001
D4-183,183,0,237,256,6179.4000000000015
D4-184,184,0,237,256,6510.800000000001
D4-185,185,0,237,256,6886.200000000001
D4-254,254,0,237,256,7218.700000000001
D4-188,188,0,237,256,7552.200000000001
D4-141,141,0,237,256,7933.800000000001
D4-278,278,0,237,256,8236.2
D4-289,289,0,237,256,8629.900000000001
D4-190,190,0,237,256,8959.400000000001
D4-192,192,0,237,256,9280.100000000002
D4-194,194,0,237,256,9639.000000000002
D4-196,196,0,237,256,9939.500000000002
D4-198,198,0,237,256,10204.300000000001
D4-180,180,0,237,256,10497.6
D4-266,266,0,237,256,2856.7999999999997
D4-135,135,0,237,256,3182.2
D4-054,54,0,237,304,730.5
D4-231,231,0,237,3,313.4
D4-066,66,0,237,3,1142.0
D4-059,59,0,237,3,771.6
D4-232,232,0,237,3,1574.3000000000002
D4-224,224,0,237,224,0.0
D4-229,229,0,237,224,520.6
D4-004,4,0,237,224,836.5
D4-246,246,0,237,224,1148.8
D4-011,11,0,237,3,625.9
D4-093,93,0,237,93,0.0
D4-087,87,0,237,93,412.1
D4-074,74,0,237,93,773.4000000000001
D4-165,165,0,237,93,1078.5
D4-241,241,0,237,93,1425.9
D4-108,108,0,237,93,1829.9
D4-137,137,0,237,93,2175.6
D4-123,123,0,237,93,2528.2999999999997
D4-037,37,0,237,93,2869.7
D4-084,84,0,237,93,3243.1
D4-101,101,0,237,93,3588.4
D4-221,221,0,237,93,3982.7000000000003
D4-220,220,0,237,93,4557.0
D4-201,201,0,237,93,4946.5
D4-211,211,0,237,93,5221.4
D4-210,210,0,237,93,5577.5
D4-262,262,0,237,93,5950.9
D4-306,306,0,237,93,6296.0
D4-200,200,0,237,200,0.0
D4-199,199,0,237,200,317.7
D4-197,197,0,237,200,627.0
D4-195,195,0,237,200,940.3
D4-193,193,0,237,200,1212.0
D4-191,191,0,237,200,1534.3
D4-189,189,0,237,200,1846.6999999999998
D4-280,280,0,237,200,2267.6
D4-279,279,0,237,200,2652.4
D4-140,140,0,237,200,2975.8
D4-187,187,0,237,200,3317.0
D4-186,186,0,237,200,3727.0
D4-296,296,0,237,200,4081.2
D4-126,126,0,237,200,4448.8
D4-182,182,0,237,200,4939.5
D4-248,248,0,237,200,5254.1
D4-025,25,0,237,200,5607.0
D4-178,178,0,237,200,5914.1
D4-142,142,0,237,200,6332.3
D4-176,176,0,237,200,6673.6
D4-174,174,0,237,200,7018.5
D4-113,113,0,237,200,7774.3
D4-124,124,0,237,200,8009.2
D4-253,253,0,237,200,8395.1
D4-030,30,0,237,200,8705.7
D4-067,67,0,237,200,9064.6
D4-164,164,0,237,200,9477.9
D4-119,119,0,237,256,1469.4
D4-120,120,0,237,256,1877.0
D4-061,61,0,237,256,2272.7
D4-019,19,0,237,256,2769.1
D4-162,162,0,237,256,3181.2
D4-051,51,0,237,256,3653.3999999999996
D4-160,160,0,237,256,4093.4999999999995
D4-159,159,0,237,256,4528.0
D4-064,64,0,237,256,4906.4
D4-287,287,0,237,256,5259.5
D4-267,267,0,237,256,5635.0
D4-288,288,0,237,256,6004.7
D4-283,283,0,237,256,6381.5
D4-281,281,0,237,256,6773.7
D4-282,282,0,237,256,7133.9
D4-156,156,0,237,256,7518.299999999999
D4-060,60,0,237,60,0.0
D4-038,38,0,237,60,394.1
D4-065,65,0,237,60,809.1
D4-230,230,0,237,3,311.9
D4-047,47,0,237,3,664.9
D4-265,265,0,237,304,897.6
D4-264,264,0,237,304,1231.7
D4-251,251,0,237,203,4887.2
D4-085,85,0,237,203,4505.3
D4-258,258,1,32,153,3243.2
D4-002,2,1,32,153,6865.799999999999
D4-012,12,1,32,153,6432.4
D4-272,272,1,32,153,7175.7
D4-017,17,1,32,153,7903.0
D4-016,16,1,32,153,9045.2
D4-147,147,1,32,153,3262.5
D4-276,276,1,32,153,2816.2
D4-149,149,1,32,153,708.4
D4-151,151,1,32,153,330.7
D4-153,153,1,32,153,0.0
D4-029,29,1,32,153,3749.1
D4-291,291,1,32,153,1450.8999999999999
D4-292,292,1,32,153,2891.5
D4-294,294,1,32,153,1792.1
D4-295,295,1,32,153,1116.6
D4-040,40,1,32,153,9374.0
D4-041,41,1,32,153,6810.7
D4-045,45,1,32,153,6028.099999999999
D4-053,53,1,32,153,5638.2
D4-063,63,1,32,153,8327.4
D4-202,202,1,32,153,8717.0
D4-204,204,1,32,153,8207.5
D4-077,77,1,32,153,2154.2999999999997
D4-079,79,1,32,153,5311.9
D4-081,81,1,32,153,7184.4
D4-090,90,1,32,153,6293.299999999999
D4-222,222,1,32,153,4041.7999999999997
D4-099,99,1,32,153,5389.9
D4-105,105,1,32,153,9729.1
D4-106,106,1,32,153,7542.4
D4-109,109,1,32,153,2538.1
D4-138,138,2,9,273,326.7
